title	filename	filepath	description	is_display_image	is_landing_image	filetype
Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode	71PRmI5eCqL177904.29485340597	sellit-media/71PRmI5eCqL177904.29485340597	null	t	f	image
Acer Nitro 17 Gaming Laptop | AMD Ryzen 7 7840HS Octa-Core CPU | NVIDIA GeForce RTX 4060 Laptop GPU | 17.3" QHD 165Hz IPS Display | 1TB Gen 4 SSD | Wi-Fi 6E | RGB Backlit KB | AN17-41-R7G3, Black	713RkW3M4IL6384784.895089229	sellit-media/713RkW3M4IL6384784.895089229	null	t	f	image
Acer Aspire 3 Spin 14 Convertible Laptop | 14" 1920 x 1200 IPS Touch Display | Intel Core i3-N305 | Intel UHD Graphics | 8GB LPDDR5 | 128GB SSD | Wi-Fi 6 | Windows 11 Home in S mode | A3SP14-31PT-37NV	61wYl1RtGOL6446907.564543387	sellit-media/61wYl1RtGOL6446907.564543387	null	t	f	image
SAMSUNG Galaxy Tab A8 10.5” 128GB Android Tablet, LCD Screen, Kids Content, Smart Switch, Long Lasting Battery, US Version, 2022, Silver, Amazon Exclusive	819hAP4xoGS2203194.004285389	sellit-media/819hAP4xoGS2203194.004285389	null	t	f	image
Lenovo IdeaPad Gaming 3 - (2022) - Essential Gaming Laptop Computer - 15.6" FHD - 120Hz - AMD Ryzen 5 6600H - NVIDIA GeForce RTX 3050 - 8GB DDR5 RAM - 256GB NVMe Storage - Windows 11 Home	71tXLOE7wIL9287802.797393851	sellit-media/71tXLOE7wIL9287802.797393851	null	t	f	image
MSI Thin GF63 15.6" 144Hz Gaming Laptop: 12th Gen Intel Core i7, NVIDIA GeForce RTX 4050, 16GB DDR4, 512GB NVMe SSD, Type-C, Cooler Boost 5, Win11 Home: Black 12VE-066US	91pjZAMbEUS7125700.052867714	sellit-media/91pjZAMbEUS7125700.052867714	null	t	f	image
Lenovo IdeaPad 3 – (2023) - Everyday Notebook - Windows 11-14" Full HD – 8GB Memory – 128GB Storage - Intel Core i3-1115G - Platinum Grey	71ctRE34RuL5204137.385765131	sellit-media/71ctRE34RuL5204137.385765131	null	t	f	image
SAMSUNG Galaxy Tab S6 Lite 10.4" 64GB Android Tablet, S Pen Included, Slim Metal Design, AKG Dual Speakers, Long Lasting Battery, US Version, 2020, Angora Blue	6142LSpf6xL6765895.0285637975	sellit-media/6142LSpf6xL6765895.0285637975	null	t	f	image
10 inch Android 11 Tablet,RAM 4GB ROM 64 GB with 128GB Expand, Octa Core Tablet,Google Certificated Tablet with IPS HD Touch Screen, 8MP Camera, 2.4G WiFi, BT, Long Battery Life(with Leather Case)	814KnXVtcsL6635447.518282147	sellit-media/814KnXVtcsL6635447.518282147	null	t	f	image
Tablet Android 2023 10 Inch Tablet, 2-In-1 Octa-Core Tablet with 128GB + 1TB Expansion + 4GB, Keyboard, 13+8MP Dual Camera, 5G WIFI, HD Touch Screen Tablet with Stylus, Mouse, Bluetooth, GPS, Case	71v0BQo8T8L271303.43483533716	sellit-media/71v0BQo8T8L271303.43483533716	null	t	f	image
Apple iPad (10.2-Inch, Wi-Fi, 32GB) - Space Gray (Renewed)	71k1LmLaj4L95380.19149186283	sellit-media/71k1LmLaj4L95380.19149186283	null	t	f	image
ASUS VivoBook 14 Slim Laptop Computer, 14" IPS FHD Display, Intel Core i3-1115G4 Processor, 4GB DDR4, 128GB PCIe SSD, Fingerprint Reader, Windows 11 Home in S Mode, Slate Grey, F415EA-AS31	81J9wwm9WxL6877218.0877416255	sellit-media/81J9wwm9WxL6877218.0877416255	null	t	f	image
SAMSUNG Galaxy Tab A7 Lite 8.7" 32GB WiFi Android Tablet, Compact, Slim Design, Kid Friendly, Sturdy Metal Frame, Long Lasting Battery, US Version, 2021, Gray	71gx1HNTj1L2047133.1065499121	sellit-media/71gx1HNTj1L2047133.1065499121	null	t	f	image
HP Chromebook 14 Laptop, Intel Celeron N4120, 4 GB RAM, 64 GB eMMC, 14" HD Display, Chrome OS, Thin Design, 4K Graphics, Long Battery Life, Ash Gray Keyboard (14a-na0226nr, 2022, Mineral Silver)	81K1NR+8WjL8030137.202403758	sellit-media/81K1NR+8WjL8030137.202403758	null	t	f	image
SAMSUNG Galaxy Tab S7 FE 12.4” 256GB WiFi Android Tablet, Large Screen, S Pen Included, Multi Device Connectivity, Long Lasting Battery, US Version, 2021, Mystic Black	61e2XEOJLGL6037076.145519222	sellit-media/61e2XEOJLGL6037076.145519222	null	t	f	image
Acer Nitro 5 AN515-58-525P Gaming Laptop | Intel Core i5-12500H | NVIDIA GeForce RTX 3050 Laptop GPU | 15.6" FHD 144Hz IPS Display | 8GB DDR4 | 512GB PCIe Gen 4 SSD | Killer Wi-Fi 6 | Backlit Keyboard	71FLsWWmE8L8347590.125933764	sellit-media/71FLsWWmE8L8347590.125933764	null	t	f	image
Acer Chromebook Spin 314 Convertible Laptop | Intel Pentium Silver N6000 | 14" HD Corning Gorilla Glass Touch Display | 4GB LPDDR4X | 128GB eMMC | Intel Wi-Fi 6 AX201 | Chrome OS | CP314-1H-P9G7	71pvhTrmZDL7318970.931085933	sellit-media/71pvhTrmZDL7318970.931085933	null	t	f	image
ASUS 2023 Vivobook 14 Laptop, 14” FHD (1920 x 1080) Display, Intel Core i5-1235U CPU, Intel Iris Xᵉ Graphics, 8GB RAM, 256GB SSD, Windows 11 Home, Quiet Blue, F1404ZA-AS51	813Nab75aQL7786290.253348942	sellit-media/813Nab75aQL7786290.253348942	null	t	f	image
SAMSUNG Galaxy Tab S8+ 12.4” 128GB WiFi 6E Android Tablet, Large AMOLED Screen, S Pen Included, Ultra Wide Camera, Long Lasting Battery, US Version, 2022, Graphite	71ZEPs9Y7CL3809654.567924241	sellit-media/71ZEPs9Y7CL3809654.567924241	null	t	f	image
ASUS G614JI-AS94 ROG Strix G16 (2023) Gaming Laptop, 16â€ 16:10 FHD 165Hz, GeForce RTX 4070, Intel Core i9-13980HX, 16GB DDR5, 1TB PCIe SSD, Wi-Fi 6E, Windows 11, G614JI-AS94, Eclipse Gray	71Sp6M--UpL59049.198058740425	sellit-media/71Sp6M--UpL59049.198058740425	null	t	f	image
Acer Chromebook 317 CB317-1H-C6RK Laptop | Intel Celeron N4500 | 17.3" Full HD IPS Display | 4GB LPDDR4X | 128GB eMMC | Intel Wireless Wi-Fi 6 AX201 802.11ax | Chrome OS, Silver	71uu-S9fsCL4536857.740087241	sellit-media/71uu-S9fsCL4536857.740087241	null	t	f	image
ASUS ZenBook Pro Duo 15 UX582 Laptop, 15.6” OLED 4K Touch Display, i7-12700H, 16GB, 1TB, GeForce RTX 3060, ScreenPad Plus, Windows 11 Home, Celestial Blue, UX582ZM-AS76T	815cAIRfKjL5343002.155078462	sellit-media/815cAIRfKjL5343002.155078462	null	t	f	image
Acer Aspire TC-1760-UA92 Desktop | 12th Gen Intel Core i5-12400 6-Core Processor | 12GB 3200MHz DDR4 | 512GB NVMe M.2 SSD | 8X DVD | Intel Wireless Wi-Fi 6 AX201 | Bluetooth 5.2 | Windows 11 Home	815cAIRfKjL5549795.540806184	sellit-media/815cAIRfKjL5549795.540806184	null	t	f	image
MSI Katana 15 15.6" 144Hz FHD Gaming Laptop: 13th Gen Intel Core i7, RTX 4070, 16GB DDR5, 1TB NVMe SSD, USB-Type C, Cooler Boost 5, Win11 Home: Black B13VGK-484US	71Sp6M--UpL1590096.3150233482	sellit-media/71Sp6M--UpL1590096.3150233482	null	t	f	image
ROG Strix G15 Gaming Desktop PC, Intel Core i7-12700F, GeForce RTX 3060 12GB, 16GB DDR4 RAM, 1TB PCIe 4.0 SSD, Windows 11 Home, G15CF-AB766	61wgnuIJDEL3161286.2288960274	sellit-media/61wgnuIJDEL3161286.2288960274	null	t	f	image
FESABOLE Tablet 2 in 1 Newest, 10.1 inch Android Tablet, 128GB Storage+1TB Expand, Octa-Core Android Tablet, 2.4G/5G WiFi, 8MP+13MP Camera, with Keyboard, Case, Stylus, 7000mAh Battery	711+0tgn+6L3537191.392369321	sellit-media/711+0tgn+6L3537191.392369321	null	t	f	image
kinstone 10 Inch Android 12 Gaming Tablet -FHD Display, 8GB RAM Tablet,256GB,4G LTE Tablets, 1920x1200 FHD IPS, 13MP Camera, 2.4G+5G WiFi，8000mAh Battery for Maximum Productivity and Gaming Fun	91CnBmI3G8L2393609.883051717	sellit-media/91CnBmI3G8L2393609.883051717	null	t	f	image
kinstone 2023 New Android 12 Tablet PC F10 Pro 10.1 Inch Tablets with 8GB+256GB,Media Tek 8183 Octa-Core 2.0GHz,6000mAh,1920 * 1200 FHD IPS Display, 13MP + 5MP Daul Camera,5G Wi-Fi,GPS, BT 5.0,1TB TF	81XtkiVBYxL6086620.475460458	sellit-media/81XtkiVBYxL6086620.475460458	null	t	f	image
kinstone Android 11 Octa-core Tablet PC,10.3 Inch 4G LTE with SIM Card Slot,4G RAM/64G ROM,Metal Shell Material,Blue Ray Eye Protection Function,GPS,5MP/13 MP Dual Camera 5G Dual WiFi,7500mAH Battery	71Q9lRFU4VL1667304.1235984387	sellit-media/71Q9lRFU4VL1667304.1235984387	null	t	f	image
kinstone Android 11 Octa-core Tablet PC,10.3 Inch 4G LTE with SIM Card Slot,4G RAM/64G ROM,Metal Shell Material,Blue Ray Eye Protection Function,GPS,5MP/13 MP Dual Camera 5G Dual WiFi,7500mAH Battery	51pwqs5xEcL1117439.3310445808	sellit-media/51pwqs5xEcL1117439.3310445808	null	t	f	image
kinstone 10 Inch Android 12 Gaming Tablet -FHD Display, 8GB RAM Tablet,256GB,4G LTE Tablets, 1920x1200 FHD IPS, 13MP Camera, 2.4G+5G WiFi，8000mAh Battery for Maximum Productivity and Gaming Fun	71AGOX9MORL4798838.906280163	sellit-media/71AGOX9MORL4798838.906280163	null	t	f	image
Lenovo IdeaPad, 20GB RAM, 1TB SSD, AMD Dual-core Processor, 15.6 Inch HD Anti-Glare Display, Long Battery Life Up to 9.5Hr, HDMI, SD Card Reader, Windows 11, 1 Year Microsoft 365	61pskHRSN2L7736582.574546498	sellit-media/61pskHRSN2L7736582.574546498	null	t	f	image
Acer Swift 3 SF314-43-R6NE Laptop | 14" Full HD IPS | AMD Ryzen 7 5700U Octa-Core Processor | AMD Radeon Graphics | 16GB LPDDR4X | 512GB SSD | Wi-Fi 6 | Fingerprint Reader | Backlit KB | Windows 11	71CKGX0iXPS3681142.40212982	thsellit-media171CKGX0iXPS3681142.40212982	thll	t	f	image
Lenovo 3i Chromebook - 2023 - Everyday Notebook - Chrome OS - 15.6" Full HD - 8GB Memory - 64GB Storage - Intel Celeron N4500 - Abyss Blue	51dBcW+NXPL2641492.2119314354	sellit-media/51dBcW+NXPL2641492.2119314354	null	t	f	image
Acer 2022 Chromebook 315 15.6" Full HD 1080p IPS Touchscreen Laptop PC, Intel Celeron N4020 Dual-Core Processor, 4GB DDR4 RAM, 64GB eMMC, Webcam, WiFi, 12 Hrs Battery Life, Chrome OS, Silver	71TOJXChXtL178466.3496490535	sellit-media/71TOJXChXtL178466.3496490535	null	t	f	image
ASUS TUF Dash 15 (2022) Gaming Laptop, 15.6" 144Hz FHD Display, Intel Core i7-12650H, GeForce RTX 3060, 16GB DDR5, 512GB SSD, Thunderbolt 4, Windows 11 Home, Off Black, FX517ZM-AS73	713WJz2wXLL2806517.8113302714	sellit-media/713WJz2wXLL2806517.8113302714	null	t	f	image
Dell Optiplex 9020 Small Form Factor Desktop with Intel Core i7-4770 Upto 3.9GHz, HD Graphics 4600 4K Support, 32GB RAM, 1TB SSD, DisplayPort, HDMI, Wi-Fi, Bluetooth - Windows 10 Pro (Renewed)	71uu-S9fsCL6051087.647852747	sellit-media/71uu-S9fsCL6051087.647852747	null	t	f	image
SAMSUNG Galaxy Tab S7+ Plus 12.4” 128GB Android Tablet w/ S Pen Included, Edge-to-Edge Display, Expandable Storage, Fast Charging USB-C Port, ‎SM-T970NZKAXAR, Mystic Black	61wYl1RtGOL3325832.949484704	sellit-media/61wYl1RtGOL3325832.949484704	null	t	f	image
Apple iPad 9.7inch with WiFi 32GB- Space Gray (2017 Model) (Renewed)	71PRmI5eCqL7685781.80314563	thsellit-media171PRmI5eCqL7685781.80314563	thll	t	f	image
Lenovo Tab M10 Plus 3rd Gen Tablet - 10" FHD - Android 12-32GB Storage - Long Battery Life, Gray	61m8rRc8RfL9004162.978734998	sellit-media/61m8rRc8RfL9004162.978734998	null	t	f	image
ASUS Vivobook Go 15 L510 Thin & Light Laptop Computer, 15.6” FHD Display, Intel Celeron N4020 Processor, 4GB RAM, 64GB Storage, Windows 11 Home in S Mode, 1 Year Microsoft 365, Star Black, L510MA-AS02	41jLIFi2GXS1634449.6750376236	sellit-media/41jLIFi2GXS1634449.6750376236	null	t	f	image
kinstone 2023 New Android 12 Tablet PC F10 Pro 10.1 Inch Tablets with 8GB+256GB,Media Tek 8183 Octa-Core 2.0GHz,6000mAh,1920 * 1200 FHD IPS Display, 13MP + 5MP Daul Camera,5G Wi-Fi,GPS, BT 5.0,1TB TF	71TOJXChXtL3532628.2729846947	sellit-media/71TOJXChXtL3532628.2729846947	null	t	f	image
Lenovo Tab M10 Plus (3rd Gen) - 2022 - Long Battery Life - 10" FHD - Front & Rear 8MP Camera - 4GB Memory - 64GB Storage - Android 12 or Later, Gray	71Qp4khq-1L6173485.929112652	sellit-media/71Qp4khq-1L6173485.929112652	null	t	f	image
Microsoft Surface Pro 9 (2022), 13" 2-in-1 Tablet & Laptop, Thin & Lightweight, Intel 12th Gen i7 Fast Processor for Multi-Tasking, 32GB Ram, 1TB Storage with Windows 11, Platinum	81F1YLvNwEL8562267.367163626	sellit-media/81F1YLvNwEL8562267.367163626	null	t	f	image
SGIN Laptop 15.6 Inch 4GB DDR4 128GB SSD, Windows 11 Laptop with Intel Celeron, up to 2.8GHz, Mini HDMI, 2.4/5.0G WiFi, 2 x USB 3.0, Expandable Storage 512GB TF(Sliver)	71FpoBA7ZcL5046706.3504407285	sellit-media/71FpoBA7ZcL5046706.3504407285	null	t	f	image
Acer Chromebook Spin 314 Convertible Laptop | Intel Pentium Silver N6000 | 14" HD Corning Gorilla Glass Touch Display | 8GB LPDDR4X | 128GB eMMC | Intel Wi-Fi 6 AX201 | Chrome OS | CP314-1H-P1Q5	817tGjvKfWL2428126.797287915	sellit-media/817tGjvKfWL2428126.797287915	null	t	f	image
iBuyPower Pro Y60 Gaming PC Computer Desktop Y60BI9N4701 (Intel i9-13900KF 3.0 GHz, Nvidia GeForce RTX 4070 12GB, 32 GB 5200 MHz DDR5 RAM, 1TB NVMe SSD, WiFi Ready, Windows 11 Home)	91NkPe-lM3L9844447.714007983	sellit-media/91NkPe-lM3L9844447.714007983	null	t	f	image
HP All-in-One Bundle PC, 23.8" FHD Micro-Edge Touchscreen Display, AMD Ryzen 5 processor, AMD Radeon Graphics, 12 GB RAM, 512 GB SSD, Windows 11 Home OS, Wi-Fi (24-cb1142, 2022)	81jIGNqTjmL3117797.587030815	sellit-media/81jIGNqTjmL3117797.587030815	null	t	f	image
Skytech Blaze 3.0 Gaming PC Desktop – Intel Core i5 12400F 2.5 GHz, NVIDIA RTX 3060, 500GB NVME SSD, 16GB DDR4 RAM 3200, 600W Gold PSU, 11AC Wi-Fi, Windows 11 Home 64-bit	71+LIOKehyL8281127.670124813	sellit-media/71+LIOKehyL8281127.670124813	null	t	f	image
ASUS CX1500CNA-AS84F Chromebook CX1, 15.6" Full HD NanoEdge Display, Intel Celeron N3350 Processor, 64GB eMMC Storage, 8GB RAM, Chrome OS, Transparent Silver, CX1500CNA-AS84F	51iazuN-+TL3192991.6946832226	sellit-media/51iazuN-+TL3192991.6946832226	null	t	f	image
Tablet 10.1 inch Android 11 Tablet 2023 Latest Update Octa-Core Processor with 64GB Storage, Dual 13MP+5MP Camera, WiFi, Bluetooth, GPS, 128GB Expand Support, IPS Full HD Display (Black)	71Mt4JAZQtL3727805.961084851	sellit-media/71Mt4JAZQtL3727805.961084851	null	t	f	image
Tablet Android 2023 10 Inch Tablet, 2-In-1 Octa-Core Tablet with 128GB + 1TB Expansion + 4GB, Keyboard, 13+8MP Dual Camera, 5G WIFI, HD Touch Screen Tablet with Stylus, Mouse, Bluetooth, GPS, Case	71PRmI5eCqL4296323.9885782525	sellit-media/71PRmI5eCqL4296323.9885782525	null	t	f	image
Headwolf Android Tablet with Keyboard, 2 in 1 10 Inch Tablet 12GB+128GB+512GB Expand Octa Core Android 12 Tablet with Case Mouse Stylus, 7700mAh Battery, 16MP Camera, WiFi, Bluetooth 5.0, GPS (Gray)	71L6HDQ211L6046688.429963718	sellit-media/71L6HDQ211L6046688.429963718	null	t	f	image
Tablet 10.1 Inch Android 11 Tablets with 4G LTE Cellular, 4G RAM, 64GB ROM, 2 In 1, Octa-Core, Keyboard，Tablet Case, 13MP Camera, Bluetooth, WiFi, GPS, Dual Sim Card Slot, HD Touchscreen, (Black)	812VbscUxiL3295619.7616809546	sellit-media/812VbscUxiL3295619.7616809546	null	t	f	image
kinstone Android 11 Octa-core Tablet PC,10.3 Inch 4G LTE with SIM Card Slot,4G RAM/64G ROM,Metal Shell Material,Blue Ray Eye Protection Function,GPS,5MP/13 MP Dual Camera 5G Dual WiFi,7500mAH Battery	815cAIRfKjL2000026.7077292476	sellit-media/815cAIRfKjL2000026.7077292476	null	t	f	image
kinstone 🅺🅸🅽🆂🆃🅽🅴 Tablet 10 Inch Android Tablets,8GB RAM DDR4 256GB ROM 1TB Expand,Gray,6000mah Battery,Octa-Core 2.0Ghz,MTK 8183,WiFi 10.1''IPS HD Touch Screen BT 5.0 Android 12.	713RkW3M4IL4124760.4279884985	sellit-media/713RkW3M4IL4124760.4279884985	null	t	f	image
kinstone 2023 New Android 12 Tablet PC F10 Pro 10.1 Inch Tablets with 8GB+256GB,Media Tek 8183 Octa-Core 2.0GHz,6000mAh,1920 * 1200 FHD IPS Display, 13MP + 5MP Daul Camera,5G Wi-Fi,GPS, BT 5.0,1TB TF	71uu-S9fsCL5432898.33555086	thsellit-media171uu-S9fsCL5432898.33555086	thll	t	f	image
Lenovo IdeaPad, 20GB RAM, 1TB SSD, AMD Dual-core Processor, 15.6 Inch HD Anti-Glare Display, Long Battery Life Up to 9.5Hr, HDMI, SD Card Reader, Windows 11, 1 Year Microsoft 365	71jTFnk7XiL4180671.764563988	sellit-media/71jTFnk7XiL4180671.764563988	null	t	f	image
ASUS G614JV-AS73 ROG Strix G16 (2023) Gaming Laptop, 16â€ 16:10 FHD 165Hz, GeForce RTX 4060, Intel Core i7-13650HX, 16GB DDR5, 512GB PCIe SSD, Wi-Fi 6E, Windows 11, G614JV-AS73, Eclipse Gray	71+1lOl1Y1L2641439.175030218	sellit-media/71+1lOl1Y1L2641439.175030218	null	t	f	image
CyberpowerPC Gamer Xtreme VR Gaming PC, Intel Core i7-12700F 2.1GHz, GeForce RTX 3060 12GB, 16GB DDR4, 1TB NVMe SSD, WiFi & Win 11 Home (GXiVR8040A12), Black	71g9X7W9K3L1072821.0960444561	sellit-media/71g9X7W9K3L1072821.0960444561	null	t	f	image
Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode	81zcUyiNcUL5480080.915876042	sellit-media/81zcUyiNcUL5480080.915876042	null	t	f	image
SAMSUNG Galaxy Tab A8 10.5” 128GB Android Tablet, LCD Screen, Kids Content, Smart Switch, Long Lasting Battery, US Version, 2022, Silver, Amazon Exclusive	71JqyTBiXrL4846479.986991152	sellit-media/71JqyTBiXrL4846479.986991152	null	t	f	image
Lenovo IdeaPad Gaming 3 - (2022) - Essential Gaming Laptop Computer - 15.6" FHD - 120Hz - AMD Ryzen 5 6600H - NVIDIA GeForce RTX 3050 - 8GB DDR5 RAM - 256GB NVMe Storage - Windows 11 Home	81sq-a+suJL1469731.623626349	sellit-media/81sq-a+suJL1469731.623626349	null	t	f	image
MSI Thin GF63 15.6" 144Hz Gaming Laptop: 12th Gen Intel Core i7, NVIDIA GeForce RTX 4050, 16GB DDR4, 512GB NVMe SSD, Type-C, Cooler Boost 5, Win11 Home: Black 12VE-066US	415G0bg-hiL1758510.0318713542	sellit-media/415G0bg-hiL1758510.0318713542	null	t	f	image
Lenovo IdeaPad 3 – (2023) - Everyday Notebook - Windows 11-14" Full HD – 8GB Memory – 128GB Storage - Intel Core i3-1115G - Platinum Grey	71CR6drcruL3849119.1126489067	sellit-media/71CR6drcruL3849119.1126489067	null	t	f	image
Acer Aspire TC-1760-UA92 Desktop | 12th Gen Intel Core i5-12400 6-Core Processor | 12GB 3200MHz DDR4 | 512GB NVMe M.2 SSD | 8X DVD | Intel Wireless Wi-Fi 6 AX201 | Bluetooth 5.2 | Windows 11 Home	71Sp6M--UpL8755233.972825143	sellit-media/71Sp6M--UpL8755233.972825143	null	t	f	image
SAMSUNG Galaxy Tab S6 Lite 10.4" 64GB Android Tablet, S Pen Included, Slim Metal Design, AKG Dual Speakers, Long Lasting Battery, US Version, 2020, Angora Blue	71PRmI5eCqL8460622.718682542	sellit-media/71PRmI5eCqL8460622.718682542	null	t	f	image
ASUS VivoBook 14 Slim Laptop Computer, 14" IPS FHD Display, Intel Core i3-1115G4 Processor, 4GB DDR4, 128GB PCIe SSD, Fingerprint Reader, Windows 11 Home in S Mode, Slate Grey, F415EA-AS31	71ZEPs9Y7CL1876402.566348585	sellit-media/71ZEPs9Y7CL1876402.566348585	null	t	f	image
kinstone 10 Inch Android 12 Gaming Tablet -FHD Display, 8GB RAM Tablet,256GB,4G LTE Tablets, 1920x1200 FHD IPS, 13MP Camera, 2.4G+5G WiFi，8000mAh Battery for Maximum Productivity and Gaming Fun	819hAP4xoGS5227485.404951584	sellit-media/819hAP4xoGS5227485.404951584	null	t	f	image
Tablet Android 2023 10 Inch Tablet, 2-In-1 Octa-Core Tablet with 128GB + 1TB Expansion + 4GB, Keyboard, 13+8MP Dual Camera, 5G WIFI, HD Touch Screen Tablet with Stylus, Mouse, Bluetooth, GPS, Case	71tXLOE7wIL8659645.330886392	sellit-media/71tXLOE7wIL8659645.330886392	null	t	f	image
FESABOLE Tablet 2 in 1 Newest, 10.1 inch Android Tablet, 128GB Storage+1TB Expand, Octa-Core Android Tablet, 2.4G/5G WiFi, 8MP+13MP Camera, with Keyboard, Case, Stylus, 7000mAh Battery	91pjZAMbEUS973558.0626927365	sellit-media/91pjZAMbEUS973558.0626927365	null	t	f	image
SAMSUNG Galaxy Tab A7 Lite 8.7" 32GB WiFi Android Tablet, Compact, Slim Design, Kid Friendly, Sturdy Metal Frame, Long Lasting Battery, US Version, 2021, Gray	71ctRE34RuL4554115.263205933	sellit-media/71ctRE34RuL4554115.263205933	null	t	f	image
HP Chromebook 14 Laptop, Intel Celeron N4120, 4 GB RAM, 64 GB eMMC, 14" HD Display, Chrome OS, Thin Design, 4K Graphics, Long Battery Life, Ash Gray Keyboard (14a-na0226nr, 2022, Mineral Silver)	6142LSpf6xL9655925.977729863	sellit-media/6142LSpf6xL9655925.977729863	null	t	f	image
SAMSUNG Galaxy Tab S7 FE 12.4” 256GB WiFi Android Tablet, Large Screen, S Pen Included, Multi Device Connectivity, Long Lasting Battery, US Version, 2021, Mystic Black	814KnXVtcsL9494748.75654239	thsellit-media1814KnXVtcsL9494748.75654239	thll	t	f	image
Acer Nitro 5 AN515-58-525P Gaming Laptop | Intel Core i5-12500H | NVIDIA GeForce RTX 3050 Laptop GPU | 15.6" FHD 144Hz IPS Display | 8GB DDR4 | 512GB PCIe Gen 4 SSD | Killer Wi-Fi 6 | Backlit Keyboard	71v0BQo8T8L6636428.568645927	sellit-media/71v0BQo8T8L6636428.568645927	null	t	f	image
